bucket_lower,bucket_upper,bucket_value
0,0.005,543510
0.005,0.01,538869
0.01,0.015,520776
0.015,0.02,511819
0.02,0.025,507221
0.025,0.03,485810
0.03,0.035,511382
0.035,0.04,500768
0.04,0.045,508612
0.045,0.05,482583
0.05,0.055,511617
0.055,0.06,478847
0.06,0.065,510875
0.065,0.07,511013
0.07,0.075,532510
0.075,0.08,502093
0.08,0.085,487409
0.085,0.09,498701
0.09,0.095,506472
0.095,0.1,498093
0.1,0.105,480990
0.105,0.11,479739
0.11,0.115,492922
0.115,0.12,489184
0.12,0.125,484639
0.125,0.13,485536
0.13,0.135,496639
0.135,0.14,478818
0.14,0.145,498314
0.145,0.15,495162
0.15,0.155,481524
0.155,0.16,509892
0.16,0.165,494990
0.165,0.17,480520
0.17,0.175,500954
0.175,0.18,499308
0.18,0.185,485596
0.185,0.19,496152
0.19,0.195,496005
0.195,0.2,485374
0.2,0.205,509398
0.205,0.21,489861
0.21,0.215,491110
0.215,0.22,496924
0.22,0.225,502876
0.225,0.23,480829
0.23,0.235,507167
0.235,0.24,492244
0.24,0.245,497199
0.245,0.25,493015
0.25,0.255,452280
0.255,0.26,489258
0.26,0.265,506955
0.265,0.27,473387
0.27,0.275,494338
0.275,0.28,503455
0.28,0.285,504289
0.285,0.29,505671
0.29,0.295,497119
0.295,0.3,510987
0.3,0.305,494144
0.305,0.31,503988
0.31,0.315,515695
0.315,0.32,504215
0.32,0.325,489070
0.325,0.33,500799
0.33,0.335,501543
0.335,0.34,485100
0.34,0.345,507177
0.345,0.35,508908
0.35,0.355,493734
0.355,0.36,476016
0.36,0.365,504535
0.365,0.37,489090
0.37,0.375,503730
0.375,0.38,520075
0.38,0.385,510276
0.385,0.39,493838
0.39,0.395,514221
0.395,0.4,510390
0.4,0.405,483321
0.405,0.41,497654
0.41,0.415,501523
0.415,0.42,521609
0.42,0.425,502819
0.425,0.43,483588
0.43,0.435,485467
0.435,0.44,489644
0.44,0.445,492015
0.445,0.45,523138
0.45,0.455,494757
0.455,0.46,487604
0.46,0.465,491800
0.465,0.47,489937
0.47,0.475,450607
0.475,0.48,479807
0.48,0.485,451551
0.485,0.49,478459
0.49,0.495,502215
0.495,0.5,502836
0.5,0.505,501347
0.505,0.51,491071
0.51,0.515,517537
0.515,0.52,500335
0.52,0.525,495887
0.525,0.53,504966
0.53,0.535,491711
0.535,0.54,513137
0.54,0.545,483739
0.545,0.55,510420
0.55,0.555,497433
0.555,0.56,500026
0.56,0.565,501449
0.565,0.57,506621
0.57,0.575,480242
0.575,0.58,496594
0.58,0.585,506416
0.585,0.59,529992
0.59,0.595,526347
0.595,0.6,504473
0.6,0.605,499606
0.605,0.61,494426
0.61,0.615,495137
0.615,0.62,499729
0.62,0.625,479268
0.625,0.63,496710
0.63,0.635,505286
0.635,0.64,516423
0.64,0.645,491707
0.645,0.65,492037
0.65,0.655,505225
0.655,0.66,506560
0.66,0.665,504049
0.665,0.67,495823
0.67,0.675,499008
0.675,0.68,514700
0.68,0.685,479836
0.685,0.69,517306
0.69,0.695,520177
0.695,0.7,511785
0.7,0.705,507624
0.705,0.71,511889
0.71,0.715,503765
0.715,0.72,515103
0.72,0.725,512151
0.725,0.73,497754
0.73,0.735,488837
0.735,0.74,500490
0.74,0.745,495582
0.745,0.75,499718
0.75,0.755,490446
0.755,0.76,522136
0.76,0.765,496244
0.765,0.77,492088
0.77,0.775,510670
0.775,0.78,510224
0.78,0.785,487028
0.785,0.79,497947
0.79,0.795,497946
0.795,0.8,494477
0.8,0.805,495883
0.805,0.81,494873
0.81,0.815,498583
0.815,0.82,516136
0.82,0.825,516222
0.825,0.83,500536
0.83,0.835,511875
0.835,0.84,479273
0.84,0.845,488869
0.845,0.85,498211
0.85,0.855,484459
0.855,0.86,487801
0.86,0.865,507565
0.865,0.87,490714
0.87,0.875,496098
0.875,0.88,498070
0.88,0.885,516026
0.885,0.89,517492
0.89,0.895,500157
0.895,0.9,509007
0.9,0.905,520342
0.905,0.91,508582
0.91,0.915,505943
0.915,0.92,532447
0.92,0.925,502176
0.925,0.93,531715
0.93,0.935,507553
0.935,0.94,514970
0.94,0.945,522936
0.945,0.95,501032
0.95,0.955,516272
0.955,0.96,508842
0.96,0.965,489070
0.965,0.97,520250
0.97,0.975,480597
0.975,0.98,500021
0.98,0.985,496616
0.985,0.99,506822
0.99,0.995,488734
0.995,1,524075
