bucket_lower,bucket_upper,bucket_value
0,0.005,500001
0.005,0.01,499998
0.01,0.015,500000
0.015,0.02,500002
0.02,0.025,499999
0.025,0.03,500003
0.03,0.035,499997
0.035,0.04,500000
0.04,0.045,500000
0.045,0.05,500002
0.05,0.055,500000
0.055,0.06,499998
0.06,0.065,500001
0.065,0.07,499999
0.07,0.075,499999
0.075,0.08,500002
0.08,0.085,500000
0.085,0.09,499998
0.09,0.095,500001
0.095,0.1,500001
0.1,0.105,499999
0.105,0.11,500001
0.11,0.115,500000
0.115,0.12,499998
0.12,0.125,500000
0.125,0.13,500000
0.13,0.135,500003
0.135,0.14,499998
0.14,0.145,500000
0.145,0.15,500000
0.15,0.155,499999
0.155,0.16,500003
0.16,0.165,499999
0.165,0.17,500000
0.17,0.175,499999
0.175,0.18,500000
0.18,0.185,500001
0.185,0.19,500000
0.19,0.195,499998
0.195,0.2,500004
0.2,0.205,499997
0.205,0.21,499999
0.21,0.215,500002
0.215,0.22,500000
0.22,0.225,499998
0.225,0.23,499998
0.23,0.235,500003
0.235,0.24,500000
0.24,0.245,500000
0.245,0.25,499999
0.25,0.255,500000
0.255,0.26,500001
0.26,0.265,500001
0.265,0.27,500000
0.27,0.275,500000
0.275,0.28,499999
0.28,0.285,500001
0.285,0.29,500001
0.29,0.295,499998
0.295,0.3,499998
0.3,0.305,499999
0.305,0.31,500003
0.31,0.315,500002
0.315,0.32,499997
0.32,0.325,500000
0.325,0.33,500001
0.33,0.335,500000
0.335,0.34,500000
0.34,0.345,500000
0.345,0.35,500000
0.35,0.355,499999
0.355,0.36,499998
0.36,0.365,500002
0.365,0.37,500001
0.37,0.375,500000
0.375,0.38,499999
0.38,0.385,500003
0.385,0.39,499998
0.39,0.395,500002
0.395,0.4,499997
0.4,0.405,500001
0.405,0.41,500003
0.41,0.415,499993
0.415,0.42,500002
0.42,0.425,500001
0.425,0.43,500001
0.43,0.435,499999
0.435,0.44,500001
0.44,0.445,500002
0.445,0.45,499997
0.45,0.455,500000
0.455,0.46,500001
0.46,0.465,500000
0.465,0.47,499997
0.47,0.475,500003
0.475,0.48,499997
0.48,0.485,500001
0.485,0.49,500004
0.49,0.495,500000
0.495,0.5,500001
0.5,0.505,499996
0.505,0.51,500002
0.51,0.515,499998
0.515,0.52,500001
0.52,0.525,500000
0.525,0.53,500000
0.53,0.535,500000
0.535,0.54,500001
0.54,0.545,499998
0.545,0.55,500000
0.55,0.555,500003
0.555,0.56,499999
0.56,0.565,499997
0.565,0.57,500002
0.57,0.575,500000
0.575,0.58,499997
0.58,0.585,500002
0.585,0.59,500001
0.59,0.595,499998
0.595,0.6,500001
0.6,0.605,500001
0.605,0.61,500000
0.61,0.615,499999
0.615,0.62,500001
0.62,0.625,500001
0.625,0.63,499998
0.63,0.635,500001
0.635,0.64,500000
0.64,0.645,499999
0.645,0.65,500000
0.65,0.655,500001
0.655,0.66,500000
0.66,0.665,500000
0.665,0.67,500001
0.67,0.675,500000
0.675,0.68,499999
0.68,0.685,500001
0.685,0.69,499997
0.69,0.695,500005
0.695,0.7,499998
0.7,0.705,499999
0.705,0.71,499999
0.71,0.715,500000
0.715,0.72,500002
0.72,0.725,499998
0.725,0.73,500000
0.73,0.735,500000
0.735,0.74,500000
0.74,0.745,500000
0.745,0.75,499998
0.75,0.755,500001
0.755,0.76,500001
0.76,0.765,500003
0.765,0.77,499998
0.77,0.775,500000
0.775,0.78,499999
0.78,0.785,500000
0.785,0.79,500000
0.79,0.795,499998
0.795,0.8,500002
0.8,0.805,500000
0.805,0.81,499999
0.81,0.815,500002
0.815,0.82,500001
0.82,0.825,499999
0.825,0.83,499999
0.83,0.835,500000
0.835,0.84,500002
0.84,0.845,499999
0.845,0.85,500000
0.85,0.855,500000
0.855,0.86,499999
0.86,0.865,500000
0.865,0.87,500002
0.87,0.875,499999
0.875,0.88,500001
0.88,0.885,499998
0.885,0.89,500001
0.89,0.895,500000
0.895,0.9,499999
0.9,0.905,499998
0.905,0.91,500002
0.91,0.915,500000
0.915,0.92,500000
0.92,0.925,500000
0.925,0.93,500001
0.93,0.935,499999
0.935,0.94,500001
0.94,0.945,499999
0.945,0.95,500002
0.95,0.955,499999
0.955,0.96,500000
0.96,0.965,499998
0.965,0.97,500002
0.97,0.975,499999
0.975,0.98,500001
0.98,0.985,500001
0.985,0.99,499998
0.99,0.995,500000
0.995,1,500001
