bucket_lower,bucket_upper,bucket_value
0,0.001,9044
0.001,0.002,10900
0.002,0.003,9975
0.003,0.004,465
0.004,0.005,19479
0.005,0.006,9976
0.006,0.007,9972
0.007,0.008,2376
0.008,0.009,0
0.009,0.01,0
0.01,0.011,37516
0.011,0.012,9976
0.012,0.013,9967
0.013,0.014,9976
0.014,0.015,9945
0.015,0.016,10003
0.016,0.017,9973
0.017,0.018,9973
0.018,0.019,6752
0.019,0.02,13193
0.02,0.021,9973
0.021,0.022,9973
0.022,0.023,9975
0.023,0.024,9972
0.024,0.025,9775
0.025,0.026,10172
0.026,0.027,9974
0.027,0.028,9971
0.028,0.029,9973
0.029,0.03,9972
0.03,0.031,9973
0.031,0.032,9975
0.032,0.033,9973
0.033,0.034,9973
0.034,0.035,9973
0.035,0.036,9973
0.036,0.037,9971
0.037,0.038,9974
0.038,0.039,9974
0.039,0.04,9973
0.04,0.041,9972
0.041,0.042,9974
0.042,0.043,9971
0.043,0.044,9975
0.044,0.045,9973
0.045,0.046,9972
0.046,0.047,9974
0.047,0.048,9974
0.048,0.049,9974
0.049,0.05,9972
0.05,0.051,9973
0.051,0.052,9971
0.052,0.053,9975
0.053,0.054,9973
0.054,0.055,9972
0.055,0.056,9973
0.056,0.057,9974
0.057,0.058,9974
0.058,0.059,9971
0.059,0.06,9975
0.06,0.061,9972
0.061,0.062,9975
0.062,0.063,9971
0.063,0.064,9972
0.064,0.065,9977
0.065,0.066,9970
0.066,0.067,9974
0.067,0.068,9973
0.068,0.069,9974
0.069,0.07,9972
0.07,0.071,9974
0.071,0.072,9972
0.072,0.073,9974
0.073,0.074,9973
0.074,0.075,9972
0.075,0.076,9974
0.076,0.077,9973
0.077,0.078,9974
0.078,0.079,9971
0.079,0.08,9971
0.08,0.081,9975
0.081,0.082,9974
0.082,0.083,9973
0.083,0.084,9973
0.084,0.085,9973
0.085,0.086,9973
0.086,0.087,9973
0.087,0.088,9971
0.088,0.089,9979
0.089,0.09,9968
0.09,0.091,9972
0.091,0.092,9978
0.092,0.093,9971
0.093,0.094,9972
0.094,0.095,9972
0.095,0.096,9977
0.096,0.097,9971
0.097,0.098,9971
0.098,0.099,9976
0.099,0.1,9971
0.1,0.101,9975
0.101,0.102,9972
0.102,0.103,9972
0.103,0.104,9973
0.104,0.105,9973
0.105,0.106,9975
0.106,0.107,9974
0.107,0.108,9974
0.108,0.109,9970
0.109,0.11,9974
0.11,0.111,9974
0.111,0.112,9974
0.112,0.113,9972
0.113,0.114,9973
0.114,0.115,9976
0.115,0.116,9967
0.116,0.117,9977
0.117,0.118,9971
0.118,0.119,9972
0.119,0.12,9973
0.12,0.121,9975
0.121,0.122,9972
0.122,0.123,9974
0.123,0.124,9972
0.124,0.125,9974
0.125,0.126,9972
0.126,0.127,9975
0.127,0.128,9972
0.128,0.129,9974
0.129,0.13,9970
0.13,0.131,9976
0.131,0.132,9969
0.132,0.133,9977
0.133,0.134,9973
0.134,0.135,9972
0.135,0.136,9977
0.136,0.137,9969
0.137,0.138,9976
0.138,0.139,9966
0.139,0.14,9975
0.14,0.141,9976
0.141,0.142,9973
0.142,0.143,9974
0.143,0.144,9973
0.144,0.145,9972
0.145,0.146,9972
0.146,0.147,9975
0.147,0.148,9974
0.148,0.149,9974
0.149,0.15,9972
0.15,0.151,9973
0.151,0.152,9973
0.152,0.153,9972
0.153,0.154,9974
0.154,0.155,9972
0.155,0.156,9973
0.156,0.157,9973
0.157,0.158,9973
0.158,0.159,9973
0.159,0.16,9973
0.16,0.161,9973
0.161,0.162,9975
0.162,0.163,9972
0.163,0.164,9972
0.164,0.165,9974
0.165,0.166,9972
0.166,0.167,9975
0.167,0.168,9971
0.168,0.169,9975
0.169,0.17,9972
0.17,0.171,9973
0.171,0.172,9971
0.172,0.173,9974
0.173,0.174,9973
0.174,0.175,9975
0.175,0.176,9973
0.176,0.177,9973
0.177,0.178,9972
0.178,0.179,9972
0.179,0.18,9972
0.18,0.181,9974
0.181,0.182,9974
0.182,0.183,9973
0.183,0.184,9975
0.184,0.185,9972
0.185,0.186,9972
0.186,0.187,9974
0.187,0.188,9974
0.188,0.189,9972
0.189,0.19,9974
0.19,0.191,9974
0.191,0.192,9971
0.192,0.193,9973
0.193,0.194,9971
0.194,0.195,9979
0.195,0.196,9969
0.196,0.197,9976
0.197,0.198,9972
0.198,0.199,9972
0.199,0.2,9972
0.2,0.201,9976
0.201,0.202,9971
0.202,0.203,9970
0.203,0.204,9975
0.204,0.205,9976
0.205,0.206,9971
0.206,0.207,9975
0.207,0.208,9973
0.208,0.209,9971
0.209,0.21,9975
0.21,0.211,9966
0.211,0.212,9979
0.212,0.213,9973
0.213,0.214,9975
0.214,0.215,9973
0.215,0.216,9970
0.216,0.217,9974
0.217,0.218,9972
0.218,0.219,9975
0.219,0.22,9975
0.22,0.221,9970
0.221,0.222,9974
0.222,0.223,9974
0.223,0.224,9971
0.224,0.225,9973
0.225,0.226,9976
0.226,0.227,9974
0.227,0.228,9968
0.228,0.229,9974
0.229,0.23,9976
0.23,0.231,9971
0.231,0.232,9971
0.232,0.233,9976
0.233,0.234,9972
0.234,0.235,9974
0.235,0.236,9973
0.236,0.237,9971
0.237,0.238,9971
0.238,0.239,9977
0.239,0.24,9972
0.24,0.241,9974
0.241,0.242,9972
0.242,0.243,9975
0.243,0.244,9972
0.244,0.245,9973
0.245,0.246,9972
0.246,0.247,9971
0.247,0.248,9978
0.248,0.249,9973
0.249,0.25,9972
0.25,0.251,9974
0.251,0.252,9966
0.252,0.253,9979
0.253,0.254,9974
0.254,0.255,9974
0.255,0.256,9969
0.256,0.257,9976
0.257,0.258,9973
