bucket_lower,bucket_upper,bucket_value
0,0.001,10010
0.001,0.002,9957
0.002,0.003,9582
0.003,0.004,10343
0.004,0.005,10107
0.005,0.006,10012
0.006,0.007,9775
0.007,0.008,10097
0.008,0.009,10117
0.009,0.01,9993
0.01,0.011,9983
0.011,0.012,10044
0.012,0.013,9991
0.013,0.014,9962
0.014,0.015,10031
0.015,0.016,9955
0.016,0.017,10004
0.017,0.018,9879
0.018,0.019,9835
0.019,0.02,11293
0.02,0.021,9004
0.021,0.022,10067
0.022,0.023,9961
0.023,0.024,10000
0.024,0.025,9992
0.025,0.026,10013
0.026,0.027,9958
0.027,0.028,10031
0.028,0.029,10007
0.029,0.03,9997
0.03,0.031,10003
0.031,0.032,9955
0.032,0.033,10037
0.033,0.034,6467
0.034,0.035,13588
0.035,0.036,9954
0.036,0.037,9994
0.037,0.038,9998
0.038,0.039,10180
0.039,0.04,8184
0.04,0.041,11641
0.041,0.042,9996
0.042,0.043,10003
0.043,0.044,10004
0.044,0.045,10000
0.045,0.046,9998
0.046,0.047,9809
0.047,0.048,10189
0.048,0.049,10051
0.049,0.05,9930
0.05,0.051,10015
0.051,0.052,9961
0.052,0.053,10059
0.053,0.054,10030
0.054,0.055,9946
0.055,0.056,10058
0.056,0.057,9874
0.057,0.058,10151
0.058,0.059,9931
0.059,0.06,9826
0.06,0.061,10156
0.061,0.062,10035
0.062,0.063,10014
0.063,0.064,9933
0.064,0.065,10115
0.065,0.066,9863
0.066,0.067,10108
0.067,0.068,8790
0.068,0.069,11338
0.069,0.07,9982
0.07,0.071,9827
0.071,0.072,10122
0.072,0.073,10043
0.073,0.074,9497
0.074,0.075,10414
0.075,0.076,9950
0.076,0.077,10013
0.077,0.078,9903
0.078,0.079,10144
0.079,0.08,9889
0.08,0.081,10088
0.081,0.082,9925
0.082,0.083,9994
0.083,0.084,10016
0.084,0.085,10036
0.085,0.086,9973
0.086,0.087,10007
0.087,0.088,10021
0.088,0.089,9981
0.089,0.09,10087
0.09,0.091,9718
0.091,0.092,10203
0.092,0.093,9936
0.093,0.094,10041
0.094,0.095,10001
0.095,0.096,9936
0.096,0.097,10064
0.097,0.098,10009
0.098,0.099,9946
0.099,0.1,10040
0.1,0.101,9978
0.101,0.102,10030
0.102,0.103,10001
0.103,0.104,9907
0.104,0.105,10081
0.105,0.106,10016
0.106,0.107,10358
0.107,0.108,9427
0.108,0.109,10214
0.109,0.11,9998
0.11,0.111,9999
0.111,0.112,10011
0.112,0.113,9939
0.113,0.114,10015
0.114,0.115,10041
0.115,0.116,9355
0.116,0.117,10269
0.117,0.118,10396
0.118,0.119,9916
0.119,0.12,10061
0.12,0.121,10016
0.121,0.122,9981
0.122,0.123,10014
0.123,0.124,9751
0.124,0.125,10231
0.125,0.126,10005
0.126,0.127,9999
0.127,0.128,10000
0.128,0.129,9988
0.129,0.13,9969
0.13,0.131,9856
0.131,0.132,10583
0.132,0.133,9127
0.133,0.134,10478
0.134,0.135,9994
0.135,0.136,10006
0.136,0.137,9999
0.137,0.138,9925
0.138,0.139,10061
0.139,0.14,10029
0.14,0.141,10052
0.141,0.142,9857
0.142,0.143,10145
0.143,0.144,9948
0.144,0.145,10080
0.145,0.146,9930
0.146,0.147,9970
0.147,0.148,10005
0.148,0.149,10008
0.149,0.15,9999
0.15,0.151,10019
0.151,0.152,10000
0.152,0.153,9867
0.153,0.154,10100
0.154,0.155,10016
0.155,0.156,9996
0.156,0.157,9987
0.157,0.158,10017
0.158,0.159,10287
0.159,0.16,9701
0.16,0.161,10002
0.161,0.162,9986
0.162,0.163,9997
0.163,0.164,10023
0.164,0.165,9992
0.165,0.166,10156
0.166,0.167,9845
0.167,0.168,10009
0.168,0.169,9984
0.169,0.17,10005
0.17,0.171,9983
0.171,0.172,10020
0.172,0.173,10000
0.173,0.174,9993
0.174,0.175,10018
0.175,0.176,9979
0.176,0.177,10020
0.177,0.178,9992
0.178,0.179,9997
0.179,0.18,10017
0.18,0.181,9972
0.181,0.182,10008
0.182,0.183,10004
0.183,0.184,10000
0.184,0.185,9992
0.185,0.186,10008
0.186,0.187,10000
0.187,0.188,9993
0.188,0.189,10001
0.189,0.19,9989
0.19,0.191,10056
0.191,0.192,9941
0.192,0.193,10010
0.193,0.194,10000
0.194,0.195,10076
0.195,0.196,9545
0.196,0.197,10314
0.197,0.198,10075
0.198,0.199,10000
0.199,0.2,10107
0.2,0.201,9874
0.201,0.202,10055
0.202,0.203,9959
0.203,0.204,10019
0.204,0.205,10119
0.205,0.206,9913
0.206,0.207,9506
0.207,0.208,10526
0.208,0.209,9914
0.209,0.21,10009
0.21,0.211,9990
0.211,0.212,9968
0.212,0.213,9939
0.213,0.214,10092
0.214,0.215,9555
0.215,0.216,10461
0.216,0.217,10128
0.217,0.218,9923
0.218,0.219,9943
0.219,0.22,9986
0.22,0.221,10058
0.221,0.222,9938
0.222,0.223,9876
0.223,0.224,10129
0.224,0.225,9968
0.225,0.226,10025
0.226,0.227,10017
0.227,0.228,9992
0.228,0.229,10016
0.229,0.23,9849
0.23,0.231,10139
0.231,0.232,10006
0.232,0.233,9998
0.233,0.234,10006
0.234,0.235,9991
0.235,0.236,10029
0.236,0.237,9749
0.237,0.238,10228
0.238,0.239,10055
0.239,0.24,9968
0.24,0.241,9979
0.241,0.242,9989
0.242,0.243,10003
0.243,0.244,9853
0.244,0.245,10154
0.245,0.246,9996
0.246,0.247,10003
0.247,0.248,9987
0.248,0.249,10006
0.249,0.25,9491
0.25,0.251,10503
0.251,0.252,10084
0.252,0.253,9945
0.253,0.254,9722
0.254,0.255,10250
0.255,0.256,9020
0.256,0.257,10528
0.257,0.258,10537
0.258,0.259,9843
0.259,0.26,10084
0.26,0.261,10002
0.261,0.262,9916
0.262,0.263,10288
0.263,0.264,9793
0.264,0.265,9974
0.265,0.266,10054
0.266,0.267,9973
0.267,0.268,10338
0.268,0.269,9660
0.269,0.27,9779
0.27,0.271,10009
0.271,0.272,10250
0.272,0.273,9957
0.273,0.274,10013
0.274,0.275,9995
0.275,0.276,9983
0.276,0.277,9946
0.277,0.278,10070
0.278,0.279,10009
0.279,0.28,9993
0.28,0.281,10010
0.281,0.282,9987
0.282,0.283,9864
0.283,0.284,10141
0.284,0.285,9998
0.285,0.286,9980
0.286,0.287,10017
0.287,0.288,10001
0.288,0.289,10000
0.289,0.29,10025
0.29,0.291,10023
0.291,0.292,9828
0.292,0.293,10269
0.293,0.294,9887
0.294,0.295,9969
0.295,0.296,9960
0.296,0.297,10079
0.297,0.298,8710
0.298,0.299,11252
0.299,0.3,9958
0.3,0.301,9964
0.301,0.302,10073
0.302,0.303,10036
0.303,0.304,9943
0.304,0.305,10013
0.305,0.306,9985
0.306,0.307,10137
0.307,0.308,9853
0.308,0.309,10013
0.309,0.31,10071
0.31,0.311,9875
0.311,0.312,9976
0.312,0.313,10086
0.313,0.314,10035
0.314,0.315,9898
0.315,0.316,10102
0.316,0.317,10160
0.317,0.318,9888
0.318,0.319,9917
0.319,0.32,10296
0.32,0.321,9787
0.321,0.322,9933
0.322,0.323,9735
0.323,0.324,10219
0.324,0.325,10044
0.325,0.326,9977
0.326,0.327,9977
0.327,0.328,9934
0.328,0.329,10112
0.329,0.33,9987
0.33,0.331,9938
0.331,0.332,10139
0.332,0.333,10058
0.333,0.334,9988
0.334,0.335,9991
0.335,0.336,9934
0.336,0.337,9946
0.337,0.338,10015
0.338,0.339,9933
0.339,0.34,10023
0.34,0.341,10048
0.341,0.342,9994
0.342,0.343,10010
0.343,0.344,9936
0.344,0.345,10048
0.345,0.346,9963
0.346,0.347,10071
0.347,0.348,9982
0.348,0.349,9812
0.349,0.35,10148
0.35,0.351,10015
0.351,0.352,10031
0.352,0.353,9990
0.353,0.354,9988
0.354,0.355,9970
0.355,0.356,10024
0.356,0.357,10021
0.357,0.358,10028
0.358,0.359,9979
0.359,0.36,9991
0.36,0.361,9987
0.361,0.362,10004
0.362,0.363,10094
0.363,0.364,9958
0.364,0.365,10054
0.365,0.366,9920
0.366,0.367,9994
0.367,0.368,10069
0.368,0.369,9922
0.369,0.37,10023
0.37,0.371,10191
0.371,0.372,9757
0.372,0.373,9963
0.373,0.374,10166
0.374,0.375,9834
0.375,0.376,10044
0.376,0.377,10028
0.377,0.378,10048
0.378,0.379,9805
0.379,0.38,10310
0.38,0.381,10152
0.381,0.382,9814
0.382,0.383,10186
0.383,0.384,9690
0.384,0.385,9979
0.385,0.386,9952
0.386,0.387,10616
0.387,0.388,9425
0.388,0.389,9612
0.389,0.39,10917
0.39,0.391,9687
0.391,0.392,9887
0.392,0.393,9805
0.393,0.394,10123
0.394,0.395,9992
