bucket_lower,bucket_upper,bucket_value
0,0.005,500000
0.005,0.01,500000
0.01,0.015,500000
0.015,0.02,500000
0.02,0.025,500000
0.025,0.03,500000
0.03,0.035,500000
0.035,0.04,500000
0.04,0.045,500000
0.045,0.05,500000
0.05,0.055,500000
0.055,0.06,500000
0.06,0.065,500000
0.065,0.07,500000
0.07,0.075,500000
0.075,0.08,500000
0.08,0.085,500000
0.085,0.09,500000
0.09,0.095,500000
0.095,0.1,500000
0.1,0.105,500000
0.105,0.11,500000
0.11,0.115,500000
0.115,0.12,500000
0.12,0.125,500000
0.125,0.13,500000
0.13,0.135,500000
0.135,0.14,500000
0.14,0.145,500000
0.145,0.15,500000
0.15,0.155,500000
0.155,0.16,500000
0.16,0.165,500000
0.165,0.17,500000
0.17,0.175,500000
0.175,0.18,500000
0.18,0.185,500000
0.185,0.19,500000
0.19,0.195,500000
0.195,0.2,500000
0.2,0.205,500000
0.205,0.21,500000
0.21,0.215,500000
0.215,0.22,500000
0.22,0.225,500000
0.225,0.23,500000
0.23,0.235,500000
0.235,0.24,500000
0.24,0.245,500000
0.245,0.25,500000
0.25,0.255,500000
0.255,0.26,500000
0.26,0.265,500000
0.265,0.27,500000
0.27,0.275,500000
0.275,0.28,500000
0.28,0.285,500000
0.285,0.29,500000
0.29,0.295,500000
0.295,0.3,500000
0.3,0.305,500000
0.305,0.31,500000
0.31,0.315,500000
0.315,0.32,500000
0.32,0.325,500000
0.325,0.33,500000
0.33,0.335,500000
0.335,0.34,500000
0.34,0.345,500000
0.345,0.35,500000
0.35,0.355,500000
0.355,0.36,500000
0.36,0.365,500000
0.365,0.37,500000
0.37,0.375,500000
0.375,0.38,500000
0.38,0.385,500000
0.385,0.39,500000
0.39,0.395,500000
0.395,0.4,500000
0.4,0.405,500000
0.405,0.41,500000
0.41,0.415,500000
0.415,0.42,500000
0.42,0.425,500000
0.425,0.43,500000
0.43,0.435,500000
0.435,0.44,500000
0.44,0.445,500000
0.445,0.45,500000
0.45,0.455,500000
0.455,0.46,500000
0.46,0.465,500000
0.465,0.47,500000
0.47,0.475,500000
0.475,0.48,500000
0.48,0.485,500000
0.485,0.49,500000
0.49,0.495,500000
0.495,0.5,500000
0.5,0.505,500000
0.505,0.51,500000
0.51,0.515,500000
0.515,0.52,500000
0.52,0.525,500000
0.525,0.53,500000
0.53,0.535,500000
0.535,0.54,500000
0.54,0.545,500000
0.545,0.55,500000
0.55,0.555,500000
0.555,0.56,500000
0.56,0.565,500000
0.565,0.57,500000
0.57,0.575,500000
0.575,0.58,500000
0.58,0.585,500000
0.585,0.59,500000
0.59,0.595,500000
0.595,0.6,500000
0.6,0.605,500000
0.605,0.61,500000
0.61,0.615,500000
0.615,0.62,500000
0.62,0.625,500000
0.625,0.63,500000
0.63,0.635,500000
0.635,0.64,500000
0.64,0.645,500000
0.645,0.65,500000
0.65,0.655,500000
0.655,0.66,500000
0.66,0.665,500000
0.665,0.67,500000
0.67,0.675,500000
0.675,0.68,500000
0.68,0.685,500000
0.685,0.69,500000
0.69,0.695,500000
0.695,0.7,500000
0.7,0.705,500000
0.705,0.71,500000
0.71,0.715,500000
0.715,0.72,500000
0.72,0.725,500000
0.725,0.73,500000
0.73,0.735,500000
0.735,0.74,500000
0.74,0.745,500000
0.745,0.75,500000
0.75,0.755,500000
0.755,0.76,500000
0.76,0.765,500000
0.765,0.77,500000
0.77,0.775,500000
0.775,0.78,500000
0.78,0.785,500000
0.785,0.79,500000
0.79,0.795,500000
0.795,0.8,500000
0.8,0.805,500000
0.805,0.81,500000
0.81,0.815,500000
0.815,0.82,500000
0.82,0.825,500000
0.825,0.83,500000
0.83,0.835,500000
0.835,0.84,500000
0.84,0.845,500000
0.845,0.85,500000
0.85,0.855,500000
0.855,0.86,500000
0.86,0.865,500000
0.865,0.87,500000
0.87,0.875,500000
0.875,0.88,500000
0.88,0.885,500000
0.885,0.89,500000
0.89,0.895,500000
0.895,0.9,500000
0.9,0.905,500000
0.905,0.91,500000
0.91,0.915,500000
0.915,0.92,500000
0.92,0.925,500000
0.925,0.93,500000
0.93,0.935,500000
0.935,0.94,500000
0.94,0.945,500000
0.945,0.95,500000
0.95,0.955,500000
0.955,0.96,500000
0.96,0.965,500000
0.965,0.97,500000
0.97,0.975,500000
0.975,0.98,500000
0.98,0.985,500000
0.985,0.99,500000
0.99,0.995,500000
0.995,1,500000
