bucket_lower,bucket_upper,bucket_value
0,0.001,9983
0.001,0.002,10006
0.002,0.003,10011
0.003,0.004,9993
0.004,0.005,9893
0.005,0.006,10042
0.006,0.007,10047
0.007,0.008,10007
0.008,0.009,9991
0.009,0.01,10024
0.01,0.011,9990
0.011,0.012,10007
0.012,0.013,9997
0.013,0.014,9991
0.014,0.015,10003
0.015,0.016,9999
0.016,0.017,9878
0.017,0.018,10130
0.018,0.019,10006
0.019,0.02,9983
0.02,0.021,9996
0.021,0.022,9990
0.022,0.023,10023
0.023,0.024,9998
0.024,0.025,9976
0.025,0.026,10035
0.026,0.027,9988
0.027,0.028,9946
0.028,0.029,10069
0.029,0.03,9863
0.03,0.031,10057
0.031,0.032,9911
0.032,0.033,9890
0.033,0.034,10274
0.034,0.035,9798
0.035,0.036,10201
0.036,0.037,9996
0.037,0.038,9843
0.038,0.039,10153
0.039,0.04,9973
0.04,0.041,9910
0.041,0.042,10044
0.042,0.043,10067
0.043,0.044,10013
0.044,0.045,9678
0.045,0.046,10320
0.046,0.047,9991
0.047,0.048,10007
0.048,0.049,10008
0.049,0.05,9997
0.05,0.051,9997
0.051,0.052,10005
0.052,0.053,9980
0.053,0.054,9660
0.054,0.055,10355
0.055,0.056,9726
0.056,0.057,10060
0.057,0.058,10210
0.058,0.059,10006
0.059,0.06,9979
0.06,0.061,10022
0.061,0.062,9987
0.062,0.063,10004
0.063,0.064,10004
0.064,0.065,9952
0.065,0.066,10047
0.066,0.067,9979
0.067,0.068,8864
0.068,0.069,10719
0.069,0.07,10445
0.07,0.071,9996
0.071,0.072,9979
0.072,0.073,10013
0.073,0.074,9987
0.074,0.075,10020
0.075,0.076,9960
0.076,0.077,10045
0.077,0.078,9710
0.078,0.079,10280
0.079,0.08,9998
0.08,0.081,10001
0.081,0.082,9807
0.082,0.083,10194
0.083,0.084,10000
0.084,0.085,10009
0.085,0.086,7203
0.086,0.087,12740
0.087,0.088,10012
0.088,0.089,10028
0.089,0.09,10018
0.09,0.091,9587
0.091,0.092,10408
0.092,0.093,9998
0.093,0.094,10005
0.094,0.095,9991
0.095,0.096,9646
0.096,0.097,10350
0.097,0.098,10000
0.098,0.099,10006
0.099,0.1,10002
0.1,0.101,9998
0.101,0.102,9838
0.102,0.103,10170
0.103,0.104,9957
0.104,0.105,10015
0.105,0.106,10006
0.106,0.107,9994
0.107,0.108,10032
0.108,0.109,6000
0.109,0.11,13989
0.11,0.111,9922
0.111,0.112,9986
0.112,0.113,9907
0.113,0.114,10146
0.114,0.115,10036
0.115,0.116,10006
0.116,0.117,3287
0.117,0.118,16634
0.118,0.119,10042
0.119,0.12,9949
0.12,0.121,10072
