bucket_lower,bucket_upper,bucket_value
0,0.001,10000
0.001,0.002,9997
0.002,0.003,10002
0.003,0.004,10001
0.004,0.005,9993
0.005,0.006,10007
0.006,0.007,10000
0.007,0.008,9995
0.008,0.009,10005
0.009,0.01,9998
0.01,0.011,10002
0.011,0.012,10000
0.012,0.013,10000
0.013,0.014,9998
0.014,0.015,10002
0.015,0.016,10000
0.016,0.017,10000
0.017,0.018,10001
0.018,0.019,9905
0.019,0.02,10093
0.02,0.021,9999
0.021,0.022,10003
0.022,0.023,9996
0.023,0.024,10003
0.024,0.025,9999
0.025,0.026,10001
0.026,0.027,9999
0.027,0.028,10000
0.028,0.029,10001
0.029,0.03,10000
0.03,0.031,10001
0.031,0.032,9998
0.032,0.033,10001
0.033,0.034,9997
0.034,0.035,10002
0.035,0.036,10001
0.036,0.037,9993
0.037,0.038,10007
0.038,0.039,9998
0.039,0.04,10003
0.04,0.041,9998
0.041,0.042,10000
0.042,0.043,9997
0.043,0.044,10004
0.044,0.045,10001
0.045,0.046,9996
0.046,0.047,10003
0.047,0.048,10000
0.048,0.049,10000
0.049,0.05,10000
0.05,0.051,10000
0.051,0.052,10000
0.052,0.053,9912
0.053,0.054,10088
0.054,0.055,10000
0.055,0.056,10000
0.056,0.057,10000
0.057,0.058,10000
0.058,0.059,10002
0.059,0.06,10002
0.06,0.061,9996
0.061,0.062,10000
0.062,0.063,10001
0.063,0.064,9999
0.064,0.065,9999
0.065,0.066,10001
0.066,0.067,10000
0.067,0.068,10000
0.068,0.069,9997
0.069,0.07,10004
0.07,0.071,10000
0.071,0.072,10001
0.072,0.073,9997
0.073,0.074,10002
0.074,0.075,10000
0.075,0.076,10001
0.076,0.077,9997
0.077,0.078,10003
0.078,0.079,9998
0.079,0.08,10000
0.08,0.081,10000
0.081,0.082,9999
0.082,0.083,10001
0.083,0.084,9999
0.084,0.085,10001
0.085,0.086,10000
0.086,0.087,10001
0.087,0.088,9999
0.088,0.089,10000
0.089,0.09,10000
0.09,0.091,10000
0.091,0.092,9997
0.092,0.093,10001
0.093,0.094,10000
0.094,0.095,10002
0.095,0.096,10000
0.096,0.097,10000
0.097,0.098,10000
0.098,0.099,9999
0.099,0.1,10002
0.1,0.101,10000
0.101,0.102,9999
0.102,0.103,10002
0.103,0.104,9999
0.104,0.105,9999
0.105,0.106,10001
0.106,0.107,9997
0.107,0.108,10002
0.108,0.109,9999
0.109,0.11,10001
0.11,0.111,10001
0.111,0.112,9999
0.112,0.113,9999
0.113,0.114,10003
0.114,0.115,9999
0.115,0.116,9999
0.116,0.117,9999
0.117,0.118,10001
0.118,0.119,10000
0.119,0.12,10001
0.12,0.121,10000
0.121,0.122,9999
0.122,0.123,10000
0.123,0.124,10000
0.124,0.125,9998
0.125,0.126,10001
0.126,0.127,10001
0.127,0.128,10001
0.128,0.129,9998
0.129,0.13,10005
0.13,0.131,9994
0.131,0.132,10001
0.132,0.133,10000
0.133,0.134,10000
0.134,0.135,10000
0.135,0.136,10001
0.136,0.137,9997
0.137,0.138,10004
0.138,0.139,10000
0.139,0.14,10000
0.14,0.141,9997
0.141,0.142,9999
0.142,0.143,10002
0.143,0.144,10000
0.144,0.145,10000
0.145,0.146,10000
0.146,0.147,10001
0.147,0.148,9999
0.148,0.149,10001
0.149,0.15,10002
0.15,0.151,9998
0.151,0.152,10000
0.152,0.153,9999
0.153,0.154,10001
0.154,0.155,9999
0.155,0.156,10000
0.156,0.157,10000
0.157,0.158,10001
0.158,0.159,9998
0.159,0.16,10002
0.16,0.161,10000
0.161,0.162,10001
0.162,0.163,9999
0.163,0.164,10000
0.164,0.165,10001
0.165,0.166,10002
0.166,0.167,9998
0.167,0.168,9999
0.168,0.169,10000
0.169,0.17,10000
0.17,0.171,9999
0.171,0.172,9998
0.172,0.173,10003
0.173,0.174,9997
0.174,0.175,10003
0.175,0.176,9999
0.176,0.177,10000
0.177,0.178,10002
0.178,0.179,10000
0.179,0.18,9999
0.18,0.181,10001
0.181,0.182,9996
0.182,0.183,10001
0.183,0.184,10001
0.184,0.185,10001
0.185,0.186,10001
0.186,0.187,9999
0.187,0.188,10000
0.188,0.189,10001
0.189,0.19,10002
0.19,0.191,9996
0.191,0.192,9997
0.192,0.193,10005
0.193,0.194,9999
0.194,0.195,10000
0.195,0.196,9997
0.196,0.197,10002
0.197,0.198,10001
0.198,0.199,9999
0.199,0.2,10001
0.2,0.201,10000
0.201,0.202,10001
0.202,0.203,9999
0.203,0.204,10001
0.204,0.205,10003
0.205,0.206,9998
0.206,0.207,9998
0.207,0.208,9999
0.208,0.209,10003
0.209,0.21,9999
0.21,0.211,9999
0.211,0.212,9999
0.212,0.213,10002
0.213,0.214,9997
0.214,0.215,10003
0.215,0.216,9996
0.216,0.217,10002
0.217,0.218,10001
0.218,0.219,9999
0.219,0.22,10001
0.22,0.221,10002
0.221,0.222,10000
0.222,0.223,9998
0.223,0.224,9999
0.224,0.225,10004
0.225,0.226,9995
0.226,0.227,10002
0.227,0.228,9998
0.228,0.229,10004
0.229,0.23,9996
0.23,0.231,10002
0.231,0.232,10002
0.232,0.233,10002
0.233,0.234,9996
0.234,0.235,9996
0.235,0.236,10004
0.236,0.237,9999
0.237,0.238,10000
0.238,0.239,10001
0.239,0.24,10000
0.24,0.241,10002
0.241,0.242,9998
0.242,0.243,10000
0.243,0.244,10000
0.244,0.245,10003
0.245,0.246,9999
0.246,0.247,9999
0.247,0.248,9999
0.248,0.249,10001
0.249,0.25,9998
0.25,0.251,10003
0.251,0.252,9995
0.252,0.253,10004
0.253,0.254,10001
0.254,0.255,10000
0.255,0.256,10000
0.256,0.257,10001
0.257,0.258,9996
0.258,0.259,9998
0.259,0.26,10002
0.26,0.261,10002
0.261,0.262,10001
0.262,0.263,9994
0.263,0.264,10004
0.264,0.265,10000
0.265,0.266,9998
0.266,0.267,10000
0.267,0.268,10002
0.268,0.269,10000
0.269,0.27,10000
0.27,0.271,10000
0.271,0.272,10000
0.272,0.273,10001
0.273,0.274,9998
0.274,0.275,10000
0.275,0.276,10001
0.276,0.277,10002
0.277,0.278,10000
0.278,0.279,9999
0.279,0.28,10002
0.28,0.281,9995
0.281,0.282,10003
0.282,0.283,10000
0.283,0.284,9998
0.284,0.285,9996
0.285,0.286,10006
0.286,0.287,9999
0.287,0.288,10002
0.288,0.289,9996
0.289,0.29,10003
0.29,0.291,10000
0.291,0.292,9998
0.292,0.293,10002
0.293,0.294,9997
0.294,0.295,10001
0.295,0.296,10001
0.296,0.297,10001
0.297,0.298,9996
0.298,0.299,10003
0.299,0.3,9998
0.3,0.301,10004
0.301,0.302,9998
0.302,0.303,10000
0.303,0.304,9997
0.304,0.305,10001
0.305,0.306,9996
0.306,0.307,10007
0.307,0.308,9998
0.308,0.309,9999
0.309,0.31,9998
0.31,0.311,10000
0.311,0.312,10005
0.312,0.313,10001
0.313,0.314,9997
0.314,0.315,10003
0.315,0.316,9997
0.316,0.317,10005
0.317,0.318,9996
0.318,0.319,10000
0.319,0.32,10000
0.32,0.321,9997
0.321,0.322,10002
0.322,0.323,9997
0.323,0.324,10006
0.324,0.325,10002
0.325,0.326,9997
0.326,0.327,9998
0.327,0.328,10000
0.328,0.329,10000
0.329,0.33,10002
0.33,0.331,10000
0.331,0.332,9999
0.332,0.333,9999
0.333,0.334,10000
0.334,0.335,10000
0.335,0.336,10003
0.336,0.337,9995
0.337,0.338,10002
0.338,0.339,10000
0.339,0.34,10002
0.34,0.341,10001
0.341,0.342,10000
0.342,0.343,9995
0.343,0.344,10004
0.344,0.345,9999
0.345,0.346,9997
0.346,0.347,10004
0.347,0.348,10000
0.348,0.349,9999
0.349,0.35,9996
0.35,0.351,10004
0.351,0.352,10000
0.352,0.353,9999
0.353,0.354,9997
0.354,0.355,10003
0.355,0.356,10001
0.356,0.357,10000
0.357,0.358,9995
0.358,0.359,10005
0.359,0.36,10000
0.36,0.361,9998
0.361,0.362,10003
0.362,0.363,9999
0.363,0.364,10000
0.364,0.365,10002
0.365,0.366,10002
0.366,0.367,9996
0.367,0.368,10000
0.368,0.369,9999
0.369,0.37,10003
0.37,0.371,9998
0.371,0.372,10000
0.372,0.373,10000
0.373,0.374,10003
0.374,0.375,9995
0.375,0.376,10001
0.376,0.377,10001
0.377,0.378,9996
0.378,0.379,10008
0.379,0.38,9998
0.38,0.381,9998
0.381,0.382,9999
0.382,0.383,9999
0.383,0.384,10005
0.384,0.385,9999
0.385,0.386,10000
0.386,0.387,10000
0.387,0.388,9995
0.388,0.389,10004
0.389,0.39,9996
0.39,0.391,10002
0.391,0.392,10000
0.392,0.393,10000
0.393,0.394,10002
0.394,0.395,10001
0.395,0.396,9997
0.396,0.397,10000
0.397,0.398,9998
0.398,0.399,10000
0.399,0.4,10003
0.4,0.401,9999
0.401,0.402,10001
0.402,0.403,9999
0.403,0.404,10004
