bucket_lower,bucket_upper,bucket_value
0,0.005,270600
0.005,0.01,540914
0.01,0.015,534843
0.015,0.02,528058
0.02,0.025,500808
0.025,0.03,501715
0.03,0.035,501954
0.035,0.04,506591
0.04,0.045,519396
0.045,0.05,489544
0.05,0.055,500185
0.055,0.06,501212
0.06,0.065,497369
0.065,0.07,514142
0.07,0.075,516110
0.075,0.08,528087
0.08,0.085,491791
0.085,0.09,493605
0.09,0.095,509595
0.095,0.1,505279
0.1,0.105,493936
0.105,0.11,474208
0.11,0.115,501004
0.115,0.12,483026
0.12,0.125,492690
0.125,0.13,483860
0.13,0.135,484589
0.135,0.14,512491
0.14,0.145,483961
0.145,0.15,501976
0.15,0.155,481517
0.155,0.16,506087
0.16,0.165,496287
0.165,0.17,484476
0.17,0.175,502143
0.175,0.18,515448
0.18,0.185,475914
0.185,0.19,503986
0.19,0.195,487100
0.195,0.2,491768
0.2,0.205,509993
0.205,0.21,497550
0.21,0.215,500540
0.215,0.22,493096
0.22,0.225,491728
0.225,0.23,496522
0.23,0.235,509566
0.235,0.24,504028
0.24,0.245,491425
0.245,0.25,491931
0.25,0.255,464713
0.255,0.26,486308
0.26,0.265,499160
0.265,0.27,496281
0.27,0.275,481702
0.275,0.28,501548
0.28,0.285,511258
0.285,0.29,521009
0.29,0.295,486833
0.295,0.3,515522
0.3,0.305,498531
0.305,0.31,505756
0.31,0.315,514672
0.315,0.32,503922
0.32,0.325,497348
0.325,0.33,495096
0.33,0.335,512302
0.335,0.34,487945
0.34,0.345,516130
0.345,0.35,501622
0.35,0.355,502140
0.355,0.36,483177
0.36,0.365,496913
0.365,0.37,494674
0.37,0.375,498612
0.375,0.38,529650
0.38,0.385,514342
0.385,0.39,494223
0.39,0.395,513071
0.395,0.4,520997
0.4,0.405,488007
0.405,0.41,492395
0.41,0.415,502243
0.415,0.42,518176
0.42,0.425,511870
0.425,0.43,491861
0.43,0.435,490643
0.435,0.44,489573
0.44,0.445,496523
0.445,0.45,521234
0.45,0.455,495302
0.455,0.46,490963
0.46,0.465,494196
0.465,0.47,497482
0.47,0.475,447468
0.475,0.48,482547
0.48,0.485,456981
0.485,0.49,477440
0.49,0.495,506731
0.495,0.5,504759
0.5,0.505,503737
0.505,0.51,492904
0.51,0.515,522284
0.515,0.52,501387
0.52,0.525,498695
0.525,0.53,510944
0.53,0.535,489642
0.535,0.54,511822
0.54,0.545,491905
0.545,0.55,510746
0.55,0.555,501192
0.555,0.56,503301
0.56,0.565,500131
0.565,0.57,507442
0.57,0.575,494508
0.575,0.58,499077
0.58,0.585,506564
0.585,0.59,529579
0.59,0.595,525883
0.595,0.6,505130
0.6,0.605,510117
0.605,0.61,492641
0.61,0.615,495899
0.615,0.62,502104
0.62,0.625,476134
0.625,0.63,510256
0.63,0.635,507700
0.635,0.64,507837
0.64,0.645,494393
0.645,0.65,498412
0.65,0.655,505871
0.655,0.66,518950
0.66,0.665,495097
0.665,0.67,510048
0.67,0.675,499000
0.675,0.68,506071
0.68,0.685,494730
0.685,0.69,517000
0.69,0.695,522882
0.695,0.7,515709
0.7,0.705,505218
0.705,0.71,520438
0.71,0.715,503592
0.715,0.72,523265
0.72,0.725,512895
0.725,0.73,497876
0.73,0.735,489132
0.735,0.74,504830
0.74,0.745,492443
0.745,0.75,503208
0.75,0.755,506550
0.755,0.76,516601
0.76,0.765,495409
0.765,0.77,508873
0.77,0.775,498173
0.775,0.78,508510
0.78,0.785,489321
0.785,0.79,501749
0.79,0.795,499885
0.795,0.8,504171
0.8,0.805,493355
0.805,0.81,506517
0.81,0.815,506389
0.815,0.82,518684
0.82,0.825,520304
0.825,0.83,488006
0.83,0.835,510381
0.835,0.84,482112
0.84,0.845,489058
0.845,0.85,502138
0.85,0.855,492964
0.855,0.86,481267
0.86,0.865,520860
0.865,0.87,486116
0.87,0.875,513573
0.875,0.88,500079
0.88,0.885,509394
0.885,0.89,509109
0.89,0.895,520449
0.895,0.9,511093
0.9,0.905,527917
0.905,0.91,502314
0.91,0.915,530206
0.915,0.92,514414
0.92,0.925,511170
0.925,0.93,527982
0.93,0.935,515157
0.935,0.94,522216
0.94,0.945,510234
0.945,0.95,506164
0.95,0.955,523695
0.955,0.96,500620
0.96,0.965,509613
0.965,0.97,491681
0.97,0.975,497835
0.975,0.98,498063
0.98,0.985,512387
0.985,0.99,500496
0.99,0.995,513335
0.995,1,256295
