bucket_lower,bucket_upper,bucket_value
0,0.005,250578
0.005,0.01,501159
0.01,0.015,501155
0.015,0.02,501158
0.02,0.025,501152
0.025,0.03,501164
0.03,0.035,501150
0.035,0.04,501162
0.04,0.045,501156
0.045,0.05,501157
0.05,0.055,501157
0.055,0.06,501158
0.06,0.065,501152
0.065,0.07,501162
0.07,0.075,501154
0.075,0.08,501160
0.08,0.085,501157
0.085,0.09,501154
0.09,0.095,501162
0.095,0.1,501152
0.1,0.105,501153
0.105,0.11,501158
0.11,0.115,501156
0.115,0.12,501167
0.12,0.125,501151
0.125,0.13,501156
0.13,0.135,501155
0.135,0.14,501160
0.14,0.145,501162
0.145,0.15,501153
0.15,0.155,501155
0.155,0.16,501160
0.16,0.165,501144
0.165,0.17,501169
0.17,0.175,501157
0.175,0.18,501161
0.18,0.185,501153
0.185,0.19,501163
0.19,0.195,501161
0.195,0.2,501144
0.2,0.205,501155
0.205,0.21,501158
0.21,0.215,501163
0.215,0.22,501159
0.22,0.225,501161
0.225,0.23,501154
0.23,0.235,501163
0.235,0.24,501141
0.24,0.245,501167
0.245,0.25,501153
0.25,0.255,501161
0.255,0.26,501156
0.26,0.265,501159
0.265,0.27,501150
0.27,0.275,501170
0.275,0.28,501142
0.28,0.285,501170
0.285,0.29,501133
0.29,0.295,501169
0.295,0.3,501160
0.3,0.305,501160
0.305,0.31,501144
0.31,0.315,501167
0.315,0.32,501157
0.32,0.325,501165
0.325,0.33,501146
0.33,0.335,501166
0.335,0.34,501163
0.34,0.345,501142
0.345,0.35,501159
0.35,0.355,501163
0.355,0.36,501152
0.36,0.365,501153
0.365,0.37,501166
0.37,0.375,501156
0.375,0.38,501147
0.38,0.385,501162
0.385,0.39,501163
0.39,0.395,501147
0.395,0.4,501155
0.4,0.405,501158
0.405,0.41,501170
0.41,0.415,501150
0.415,0.42,501157
0.42,0.425,501142
0.425,0.43,501171
0.43,0.435,501152
0.435,0.44,501163
0.44,0.445,501153
0.445,0.45,501162
0.45,0.455,501158
0.455,0.46,501154
0.46,0.465,501166
0.465,0.47,501152
0.47,0.475,501156
0.475,0.48,501160
0.48,0.485,501149
0.485,0.49,501160
0.49,0.495,501159
0.495,0.5,501151
0.5,0.505,501162
0.505,0.51,501160
0.51,0.515,501153
0.515,0.52,501159
0.52,0.525,501166
0.525,0.53,501130
0.53,0.535,501174
0.535,0.54,501159
0.54,0.545,501147
0.545,0.55,501167
0.55,0.555,501144
0.555,0.56,501171
0.56,0.565,501156
0.565,0.57,501155
0.57,0.575,501149
0.575,0.58,501166
0.58,0.585,501150
0.585,0.59,501168
0.59,0.595,501149
0.595,0.6,501161
0.6,0.605,501155
0.605,0.61,501157
0.61,0.615,501152
0.615,0.62,501159
0.62,0.625,501160
0.625,0.63,501157
0.63,0.635,501152
0.635,0.64,501165
0.64,0.645,501150
0.645,0.65,501165
0.65,0.655,501154
0.655,0.66,501153
0.66,0.665,501164
0.665,0.67,501152
0.67,0.675,501164
0.675,0.68,501161
0.68,0.685,501147
0.685,0.69,501149
0.69,0.695,501167
0.695,0.7,501154
0.7,0.705,501141
0.705,0.71,501173
0.71,0.715,501160
0.715,0.72,501159
0.72,0.725,501152
0.725,0.73,501160
0.73,0.735,501151
0.735,0.74,501161
0.74,0.745,501145
0.745,0.75,501164
0.75,0.755,501157
0.755,0.76,501163
0.76,0.765,501145
0.765,0.77,501172
0.77,0.775,501157
0.775,0.78,501145
0.78,0.785,501165
0.785,0.79,501154
0.79,0.795,501161
0.795,0.8,501149
0.8,0.805,501164
0.805,0.81,501150
0.81,0.815,501183
0.815,0.82,501136
0.82,0.825,501154
0.825,0.83,501163
0.83,0.835,501156
0.835,0.84,501150
0.84,0.845,501164
0.845,0.85,501155
0.85,0.855,501159
0.855,0.86,501154
0.86,0.865,501149
0.865,0.87,501168
0.87,0.875,501155
0.875,0.88,501154
0.88,0.885,501154
0.885,0.89,501157
0.89,0.895,501170
0.895,0.9,501144
0.9,0.905,501160
0.905,0.91,501158
0.91,0.915,501160
0.915,0.92,501162
0.92,0.925,501151
0.925,0.93,501155
0.93,0.935,501158
0.935,0.94,501155
0.94,0.945,501156
0.945,0.95,501155
0.95,0.955,501165
0.955,0.96,501154
0.96,0.965,501162
0.965,0.97,501154
0.97,0.975,501157
0.975,0.98,501163
0.98,0.985,501149
0.985,0.99,501158
0.99,0.995,501159
0.995,1,250577
