bucket_lower,bucket_upper,bucket_value
0,0.001,4996
0.001,0.002,10263
0.002,0.003,9767
0.003,0.004,10035
0.004,0.005,9714
0.005,0.006,10291
0.006,0.007,10015
0.007,0.008,10000
0.008,0.009,9995
0.009,0.01,10008
0.01,0.011,10028
0.011,0.012,10010
0.012,0.013,9755
0.013,0.014,10169
0.014,0.015,10105
0.015,0.016,10018
0.016,0.017,10129
0.017,0.018,10071
0.018,0.019,9789
0.019,0.02,10057
0.02,0.021,9990
0.021,0.022,9980
0.022,0.023,10051
0.023,0.024,9997
0.024,0.025,10016
0.025,0.026,9679
0.026,0.027,10350
0.027,0.028,9991
0.028,0.029,10013
0.029,0.03,9993
0.03,0.031,10047
0.031,0.032,9977
0.032,0.033,10021
0.033,0.034,9524
0.034,0.035,10508
0.035,0.036,9981
0.036,0.037,9845
0.037,0.038,10278
0.038,0.039,9137
0.039,0.04,10823
0.04,0.041,7778
0.041,0.042,12422
0.042,0.043,9808
0.043,0.044,10015
0.044,0.045,10006
0.045,0.046,9623
0.046,0.047,10385
0.047,0.048,10028
0.048,0.049,10055
0.049,0.05,9945
0.05,0.051,9949
0.051,0.052,10037
0.052,0.053,9987
0.053,0.054,10065
0.054,0.055,9955
0.055,0.056,9909
0.056,0.057,9773
0.057,0.058,10415
0.058,0.059,9323
0.059,0.06,10697
0.06,0.061,9896
0.061,0.062,10124
0.062,0.063,10051
0.063,0.064,10107
0.064,0.065,9816
0.065,0.066,9604
0.066,0.067,10710
0.067,0.068,9309
0.068,0.069,10475
0.069,0.07,9704
0.07,0.071,10303
0.071,0.072,10004
0.072,0.073,10058
0.073,0.074,9956
0.074,0.075,9702
0.075,0.076,10302
0.076,0.077,10254
0.077,0.078,9823
0.078,0.079,9929
0.079,0.08,10204
0.08,0.081,9831
0.081,0.082,10043
0.082,0.083,10030
0.083,0.084,10099
0.084,0.085,9909
0.085,0.086,10008
0.086,0.087,10067
0.087,0.088,9810
0.088,0.089,10058
0.089,0.09,10143
0.09,0.091,9985
0.091,0.092,10013
0.092,0.093,10023
0.093,0.094,9901
0.094,0.095,10180
0.095,0.096,9935
0.096,0.097,10009
0.097,0.098,10011
0.098,0.099,9992
0.099,0.1,9997
0.1,0.101,9926
0.101,0.102,10125
0.102,0.103,9863
0.103,0.104,10194
0.104,0.105,10054
0.105,0.106,9899
0.106,0.107,10057
0.107,0.108,9979
0.108,0.109,10026
0.109,0.11,10008
0.11,0.111,10010
0.111,0.112,10010
0.112,0.113,10088
0.113,0.114,9932
0.114,0.115,9982
0.115,0.116,10038
0.116,0.117,10002
0.117,0.118,10018
0.118,0.119,10001
0.119,0.12,10008
0.12,0.121,10021
0.121,0.122,10010
0.122,0.123,10007
0.123,0.124,10012
0.124,0.125,10349
0.125,0.126,9676
0.126,0.127,9955
0.127,0.128,10077
0.128,0.129,9939
0.129,0.13,10186
0.13,0.131,9882
0.131,0.132,10077
0.132,0.133,9993
0.133,0.134,9920
0.134,0.135,9980
0.135,0.136,10089
0.136,0.137,10008
0.137,0.138,10008
0.138,0.139,9991
0.139,0.14,10321
0.14,0.141,9721
0.141,0.142,9994
0.142,0.143,10527
0.143,0.144,9565
0.144,0.145,9978
0.145,0.146,9804
0.146,0.147,10160
0.147,0.148,10043
0.148,0.149,10003
0.149,0.15,10012
0.15,0.151,10006
0.151,0.152,10006
0.152,0.153,10032
0.153,0.154,9976
0.154,0.155,10060
0.155,0.156,9993
0.156,0.157,9999
0.157,0.158,10008
0.158,0.159,9978
0.159,0.16,10038
0.16,0.161,10025
0.161,0.162,10001
0.162,0.163,9963
0.163,0.164,10056
0.164,0.165,10010
0.165,0.166,10011
0.166,0.167,9985
0.167,0.168,10040
0.168,0.169,10128
0.169,0.17,9885
0.17,0.171,10014
0.171,0.172,10009
0.172,0.173,9976
0.173,0.174,10194
0.174,0.175,9861
0.175,0.176,10120
0.176,0.177,9748
0.177,0.178,10161
0.178,0.179,9993
0.179,0.18,10027
0.18,0.181,9998
0.181,0.182,10022
0.182,0.183,10009
0.183,0.184,10012
0.184,0.185,9999
0.185,0.186,10024
0.186,0.187,9999
0.187,0.188,10015
0.188,0.189,10024
0.189,0.19,9992
0.19,0.191,9982
0.191,0.192,10044
0.192,0.193,10100
0.193,0.194,9886
0.194,0.195,10029
0.195,0.196,9940
0.196,0.197,10090
0.197,0.198,10006
0.198,0.199,10214
0.199,0.2,9779
0.2,0.201,10108
0.201,0.202,9952
0.202,0.203,9938
0.203,0.204,10069
0.204,0.205,10004
0.205,0.206,10041
0.206,0.207,9697
