bucket_lower,bucket_upper,bucket_value
0,0.005,227229
0.005,0.01,454456
0.01,0.015,454460
0.015,0.02,454458
0.02,0.025,454449
0.025,0.03,454475
0.03,0.035,454453
0.035,0.04,454447
0.04,0.045,454463
0.045,0.05,454456
0.05,0.055,454461
0.055,0.06,454456
0.06,0.065,454452
0.065,0.07,454447
0.07,0.075,454462
0.075,0.08,454464
0.08,0.085,454462
0.085,0.09,454462
0.09,0.095,454444
0.095,0.1,454448
0.1,0.105,454470
0.105,0.11,454469
0.11,0.115,454443
0.115,0.12,454448
0.12,0.125,454494
0.125,0.13,454427
0.13,0.135,454437
0.135,0.14,454471
0.14,0.145,454468
0.145,0.15,454463
0.15,0.155,454453
0.155,0.16,454448
0.16,0.165,454470
0.165,0.17,454447
0.17,0.175,454477
0.175,0.18,454448
0.18,0.185,454458
0.185,0.19,454455
0.19,0.195,454461
0.195,0.2,454451
0.2,0.205,454447
0.205,0.21,454485
0.21,0.215,454436
0.215,0.22,454463
0.22,0.225,454462
0.225,0.23,454455
0.23,0.235,454462
0.235,0.24,454454
0.24,0.245,454454
0.245,0.25,454462
0.25,0.255,454459
0.255,0.26,454456
0.26,0.265,454453
0.265,0.27,454464
0.27,0.275,454443
0.275,0.28,454463
0.28,0.285,454466
0.285,0.29,454448
0.29,0.295,454448
0.295,0.3,454472
0.3,0.305,454459
0.305,0.31,454451
0.31,0.315,454460
0.315,0.32,454471
0.32,0.325,454451
0.325,0.33,454455
0.33,0.335,454451
0.335,0.34,454463
0.34,0.345,454455
0.345,0.35,454459
0.35,0.355,454455
0.355,0.36,454448
0.36,0.365,454461
0.365,0.37,454463
0.37,0.375,454449
0.375,0.38,454455
0.38,0.385,454461
0.385,0.39,454460
0.39,0.395,454458
0.395,0.4,454463
0.4,0.405,454455
0.405,0.41,454457
0.41,0.415,454456
0.415,0.42,454458
0.42,0.425,454465
0.425,0.43,454449
0.43,0.435,454455
0.435,0.44,454464
0.44,0.445,454463
0.445,0.45,454441
0.45,0.455,454472
0.455,0.46,454441
0.46,0.465,454462
0.465,0.47,454462
0.47,0.475,454460
0.475,0.48,454457
0.48,0.485,454451
0.485,0.49,454484
0.49,0.495,454433
0.495,0.5,454459
0.5,0.505,454459
0.505,0.51,454451
0.51,0.515,454456
0.515,0.52,454464
0.52,0.525,454464
0.525,0.53,454464
0.53,0.535,454434
0.535,0.54,454462
0.54,0.545,454464
0.545,0.55,454443
0.55,0.555,454476
0.555,0.56,454448
0.56,0.565,454460
0.565,0.57,454458
0.57,0.575,454459
0.575,0.58,454456
0.58,0.585,454452
0.585,0.59,454459
0.59,0.595,454473
0.595,0.6,454444
0.6,0.605,454462
0.605,0.61,454451
0.61,0.615,454461
0.615,0.62,454443
0.62,0.625,454462
0.625,0.63,454459
0.63,0.635,454465
0.635,0.64,454457
0.64,0.645,454460
0.645,0.65,454455
0.65,0.655,454460
0.655,0.66,454455
0.66,0.665,454456
0.665,0.67,454455
0.67,0.675,454466
0.675,0.68,454456
0.68,0.685,454458
0.685,0.69,454455
0.69,0.695,454456
0.695,0.7,454455
0.7,0.705,454459
0.705,0.71,454458
0.71,0.715,454471
0.715,0.72,454453
0.72,0.725,454441
0.725,0.73,454458
0.73,0.735,454466
0.735,0.74,454450
0.74,0.745,454461
0.745,0.75,454456
0.75,0.755,454455
0.755,0.76,454454
0.76,0.765,454453
0.765,0.77,454480
0.77,0.775,454435
0.775,0.78,454470
0.78,0.785,454448
0.785,0.79,454462
0.79,0.795,454464
0.795,0.8,454458
0.8,0.805,454452
0.805,0.81,454459
0.81,0.815,454453
0.815,0.82,454460
0.82,0.825,454460
0.825,0.83,454457
0.83,0.835,454441
0.835,0.84,454474
0.84,0.845,454455
0.845,0.85,454459
0.85,0.855,454462
0.855,0.86,454448
0.86,0.865,454462
0.865,0.87,454443
0.87,0.875,454472
0.875,0.88,454451
0.88,0.885,454466
0.885,0.89,454455
0.89,0.895,454452
0.895,0.9,454464
0.9,0.905,454460
0.905,0.91,454449
0.91,0.915,454456
0.915,0.92,454463
0.92,0.925,454455
0.925,0.93,454455
0.93,0.935,454464
0.935,0.94,454439
0.94,0.945,454474
0.945,0.95,454452
0.95,0.955,454468
0.955,0.96,454446
0.96,0.965,454451
0.965,0.97,454469
0.97,0.975,454459
0.975,0.98,454450
0.98,0.985,454457
0.985,0.99,454464
0.99,0.995,454455
0.995,1,227230
